page_id,model_id,judge_id,accuracy_1_5,completeness_1_5,added_errors_1_5,note,flagged_claims
bwh__cta__41bd929e,gemini,gemini,2,5,4,"Stating the test uses 'no needles' is incorrect, as coronary CT angiography requires an IV for contrast dye.",It does not use cuts or needles.
bwh__cta__41bd929e,gemini,openai,3,5,4,"Rewrite incorrectly says cardiac CT does not use needles, but coronary CT angiography often requires IV contrast.",It does not use cuts or needles. | A cardiac CT scan is a safe test that looks at your heart.
bwh__cta__41bd929e,openai,claude,5,5,1,none,
bwh__cta__41bd929e,openai,gemini,5,5,1,none,
bwh__cta__41bd929e,openai,openai,5,5,1,none,
bwh__tavr__560e7825,claude,claude,5,5,1,none,
bwh__tavr__560e7825,claude,gemini,5,5,1,none,
bwh__tavr__560e7825,claude,openai,5,5,2,Minor added explanatory valve function statement not in original.,The aortic valve helps blood flow the right way.
bwh__tavr__560e7825,gemini,claude,5,4,1,Dropped mention of being one of two New England hospitals; minor omission only.,
bwh__tavr__560e7825,gemini,gemini,5,5,1,none,
bwh__tavr__560e7825,gemini,openai,5,5,1,none,
bwh__tavr__560e7825,openai,claude,5,5,1,none,
bwh__tavr__560e7825,openai,gemini,5,5,1,none,
bwh__tavr__560e7825,openai,openai,5,5,2,Minor added definition of catheter; otherwise medically faithful.,A catheter is a thin tube.
cleveland__cta__2327f207,claude,claude,5,4,1,"Vague 'Call your provider if you have any concerns' loses specific warning signs from original, but original list was also truncated.",
cleveland__cta__2327f207,claude,gemini,5,5,1,none,
cleveland__cta__2327f207,claude,openai,5,4,2,Vague preparation and call-provider sections preserve less specific safety guidance.,Call your provider if you have any concerns.
cleveland__cta__2327f207,gemini,claude,5,4,1,Vague 'call your doctor if you have any problems' replaces specific warning criteria; minor omission.,
cleveland__cta__2327f207,gemini,gemini,5,5,1,none,
cleveland__cta__2327f207,gemini,openai,5,4,1,Minor details about images showing nearby tissues/capillary beds and specific follow-up warning criteria were not preserved.,
cleveland__cta__2327f207,openai,claude,5,4,1,"Specific disadvantages/risks (e.g., radiation, contrast risks) generalized rather than dropped; original was also vague here",
cleveland__cta__2327f207,openai,gemini,5,5,2,Added generic standard-of-care examples like allergies and medications to logically fill in missing bullet points from the original text.,"tell your provider about your health history, allergies, medicines | Call your provider if they told you to watch for symptoms"
cleveland__cta__2327f207,openai,openai,5,4,2,Rewrite mostly preserves content; added generic preparation items not visible in original.,"Tell your provider about your health history, allergies, medicines and any concerns you have."
cleveland__laao__58be2f5f,claude,claude,5,5,1,none,
cleveland__laao__58be2f5f,claude,gemini,5,5,1,none,
cleveland__laao__58be2f5f,claude,openai,5,5,1,none,
cleveland__laao__58be2f5f,gemini,claude,5,4,2,"Specific complication warning signs (chest pain, dizziness, bleeding) are partly inferred but reasonable; minor.",
cleveland__laao__58be2f5f,gemini,gemini,5,5,4,"The rewrite invented lists of complications and symptoms to report, which were missing from the original text due to formatting errors.","Problems can include bleeding, fluid around the heart, or a stroke. The device could also move, or a clot could form on the device itself. | Call your doctor right away if you have chest pain or trouble breathing. You should also call if you feel dizzy or if you are bleeding where the tube went into your body."
cleveland__laao__58be2f5f,gemini,openai,3,5,4,Rewrite overstates eligibility as only for Afib without valve disease and adds specific risks/symptoms not shown in original.,"This procedure is for people with Afib who do not have heart valve disease. | Problems can include bleeding, fluid around the heart, or a stroke. | The device could also move, or a clot could form on the device itself. | Call your doctor right away if you have chest pain or trouble breathing. | call if you feel dizzy or if you are bleeding where the tube went into your body. | guides it to your heart using X-rays and ultrasounds."
cleveland__laao__58be2f5f,openai,claude,5,4,1,Specific warning symptoms (when to call provider) generalized to 'symptoms or concerns'; minor completeness loss,
cleveland__laao__58be2f5f,openai,gemini,5,5,1,none,
cleveland__laao__58be2f5f,openai,openai,5,5,2,none,
cleveland__tavr__2d4c210c,claude,claude,5,5,1,none,
cleveland__tavr__2d4c210c,claude,gemini,5,5,1,none,
cleveland__tavr__2d4c210c,claude,openai,5,5,1,none,
cleveland__tavr__2d4c210c,gemini,claude,5,3,1,Dropped specific complications and contraindications; warning signs replaced with vague 'any problems',
cleveland__tavr__2d4c210c,gemini,gemini,5,5,1,none,
cleveland__tavr__2d4c210c,gemini,openai,4,4,2,Overstates that open-heart surgery is too dangerous for many TAVR candidates.,This means open-heart surgery is too dangerous for them.
cleveland__tavr__2d4c210c,openai,claude,5,4,1,Specific warning symptoms to watch for after TAVR were generalized rather than listed,
cleveland__tavr__2d4c210c,openai,gemini,5,5,1,none,
cleveland__tavr__2d4c210c,openai,openai,5,5,1,none,
jhmi__cta__f15ba785,claude,claude,5,5,1,none,
jhmi__cta__f15ba785,claude,gemini,5,5,1,none,
jhmi__cta__f15ba785,claude,openai,5,5,1,none,
jhmi__cta__f15ba785,gemini,claude,5,5,1,none,
jhmi__cta__f15ba785,gemini,gemini,5,5,1,none,
jhmi__cta__f15ba785,gemini,openai,5,5,1,none,
jhmi__cta__f15ba785,openai,claude,5,5,1,none,
jhmi__cta__f15ba785,openai,gemini,5,5,1,none,
jhmi__cta__f15ba785,openai,openai,5,5,1,none,
jhmi__laao__b5350128,claude,claude,4,5,1,Original says irregular/uncoordinated pumping; rewrite adds 'fast' which isn't always accurate for AFib rate.,"This makes the heart pump in a fast, uneven way."
jhmi__laao__b5350128,claude,gemini,5,5,1,none,
jhmi__laao__b5350128,claude,openai,4,5,3,"Atrial fibrillation is described as making the heart pump fast, which is not always true.","This makes the heart pump in a fast, uneven way."
jhmi__laao__b5350128,gemini,claude,5,5,1,none,
jhmi__laao__b5350128,gemini,gemini,5,5,1,none,
jhmi__laao__b5350128,gemini,openai,5,4,1,Drops the FDA indication detail that WATCHMAN is for nonvalvular atrial fibrillation.,
jhmi__laao__b5350128,openai,claude,5,5,1,none,
jhmi__laao__b5350128,openai,gemini,5,5,1,none,
jhmi__laao__b5350128,openai,openai,5,5,2,none,
jhmi__tavr__7bdb4834,claude,claude,5,5,1,none,
jhmi__tavr__7bdb4834,claude,gemini,5,5,1,none,
jhmi__tavr__7bdb4834,claude,openai,5,5,1,none,
jhmi__tavr__7bdb4834,gemini,claude,5,5,1,none,
jhmi__tavr__7bdb4834,gemini,gemini,5,5,1,none,
jhmi__tavr__7bdb4834,gemini,openai,5,5,1,none,
jhmi__tavr__7bdb4834,openai,claude,5,5,1,none,
jhmi__tavr__7bdb4834,openai,gemini,5,5,1,none,
jhmi__tavr__7bdb4834,openai,openai,5,5,1,none,
mayo__cta__7756ee3c,claude,claude,5,5,1,none,
mayo__cta__7756ee3c,claude,gemini,5,5,1,none,
mayo__cta__7756ee3c,claude,openai,5,5,1,none,
mayo__cta__7756ee3c,gemini,claude,5,5,2,Added examples (brisk walking/running) for exercise intensity not in original; medically benign.,
mayo__cta__7756ee3c,gemini,gemini,5,5,1,none,
mayo__cta__7756ee3c,gemini,openai,5,5,2,Minor added exercise examples not in original.,Moderate exercise means activities like brisk walking; hard exercise like running.
mayo__cta__7756ee3c,openai,claude,5,5,1,none,
mayo__cta__7756ee3c,openai,gemini,5,5,1,none,
mayo__cta__7756ee3c,openai,openai,5,5,1,none,
mayo__tavr__739229dd,claude,claude,5,5,1,none,
mayo__tavr__739229dd,claude,gemini,5,5,1,none,
mayo__tavr__739229dd,claude,openai,5,4,1,Minor omission: supplements beyond vitamins are not mentioned in medication preparation.,
mayo__tavr__739229dd,gemini,claude,5,5,1,none,
mayo__tavr__739229dd,gemini,gemini,5,5,1,none,
mayo__tavr__739229dd,gemini,openai,5,5,1,none,
mayo__tavr__739229dd,openai,claude,5,5,1,none,
mayo__tavr__739229dd,openai,gemini,5,5,1,none,
mayo__tavr__739229dd,openai,openai,5,5,1,none,
radinfo__cta__6925659a,claude,claude,5,5,1,none,
radinfo__cta__6925659a,claude,gemini,5,5,1,none,
radinfo__cta__6925659a,claude,openai,5,5,1,none,
radinfo__cta__6925659a,gemini,claude,5,4,1,Minor omission: kidney disease screening for iodinated contrast not explicitly mentioned; otherwise accurate and complete.,
radinfo__cta__6925659a,gemini,gemini,5,5,1,none,
radinfo__cta__6925659a,gemini,openai,4,4,1,Premedication for contrast allergy reduces risk; it does not guarantee prevention.,You may need to take medicine starting 13 hours before the test to prevent an allergic reaction.
radinfo__cta__6925659a,openai,claude,5,5,1,none,
radinfo__cta__6925659a,openai,gemini,5,5,1,none,
radinfo__cta__6925659a,openai,openai,5,5,1,none,
radinfo__tavr__b91650e4,claude,claude,5,5,1,none,
radinfo__tavr__b91650e4,claude,gemini,5,5,1,none,
radinfo__tavr__b91650e4,claude,openai,5,5,1,none,
radinfo__tavr__b91650e4,gemini,claude,5,5,1,none,
radinfo__tavr__b91650e4,gemini,gemini,5,5,1,none,
radinfo__tavr__b91650e4,gemini,openai,5,5,1,none,
radinfo__tavr__b91650e4,openai,claude,5,5,1,none,
radinfo__tavr__b91650e4,openai,gemini,5,5,1,none,
radinfo__tavr__b91650e4,openai,openai,5,5,1,none,
stanford__cta__80db3ba7,claude,claude,5,5,1,none,
stanford__cta__80db3ba7,claude,gemini,4,5,1,"Calling conventional angiograms the 'old way' implies they are obsolete, which is inaccurate.",The old way to check for blockages used an invasive test.
stanford__cta__80db3ba7,claude,openai,5,5,1,none,
stanford__cta__80db3ba7,gemini,claude,5,5,2,"Minor added simplification calling catheterization 'putting a small tube inside your body'—accurate but slightly informal explanation, not in original.",
stanford__cta__80db3ba7,gemini,gemini,5,5,1,none,
stanford__cta__80db3ba7,gemini,openai,4,5,3,"Rewrite slightly overstates CT accuracy and says CT does not use tubes, which may be misleading.",They give exact results | a CT scan is a good choice because it does not use tubes
stanford__cta__80db3ba7,openai,claude,5,5,1,none,
stanford__cta__80db3ba7,openai,gemini,5,5,1,none,
stanford__cta__80db3ba7,openai,openai,5,5,1,none,
stanford__laao__46fbd5cc,claude,claude,5,5,2,Added 'AFib is a kind of irregular heartbeat' definition; accurate but not in original.,
stanford__laao__46fbd5cc,claude,gemini,5,5,2,"Added a basic, accurate definition of AFib not present in the original text.",AFib is a kind of irregular heartbeat.
stanford__laao__46fbd5cc,claude,openai,4,5,3,Rewrite adds AFib definition and slightly overstates clot prevention mechanism.,AFib is a kind of irregular heartbeat. | This helps stop blood clots from forming.
stanford__laao__46fbd5cc,gemini,claude,4,4,2,Rewrite frames LAA closure as for those who 'cannot take' blood thinners; original says 'alternative to' for eligible patients,This is a good choice for some people who cannot take blood thinners like warfarin
stanford__laao__46fbd5cc,gemini,gemini,5,5,1,none,
stanford__laao__46fbd5cc,gemini,openai,5,4,1,"Omitted some minor program details, such as interventional cardiologists and promising results.",
stanford__laao__46fbd5cc,openai,claude,5,5,1,none,
stanford__laao__46fbd5cc,openai,gemini,5,5,1,none,
stanford__laao__46fbd5cc,openai,openai,5,5,1,none,
stanford__laao__7b2864fb,claude,claude,5,4,1,"Rewrite dropped specific 'electrophysiologists, interventional cardiologists' detail, simplified to 'heart doctors'; minor omission only",
stanford__laao__7b2864fb,claude,gemini,5,5,1,none,
stanford__laao__7b2864fb,claude,openai,5,5,1,none,
stanford__laao__7b2864fb,gemini,claude,5,5,1,none,
stanford__laao__7b2864fb,gemini,gemini,5,5,1,none,
stanford__laao__7b2864fb,gemini,openai,4,5,2,Structural heart disease was broadened to heart disease.,Our Structural Heart Program treats heart disease.
stanford__laao__7b2864fb,openai,claude,5,5,1,none,
stanford__laao__7b2864fb,openai,gemini,5,5,1,none,
stanford__laao__7b2864fb,openai,openai,5,5,1,none,
stanford__tavr__9f21f452,claude,claude,5,5,1,none,
stanford__tavr__9f21f452,claude,gemini,5,5,1,none,
stanford__tavr__9f21f452,claude,openai,5,5,2,none,This makes it easier on your body.
stanford__tavr__9f21f452,gemini,claude,5,5,1,none,
stanford__tavr__9f21f452,gemini,gemini,5,5,1,none,
stanford__tavr__9f21f452,gemini,openai,5,4,1,"Minor research details omitted, including specific Stanford co-authored moderate-risk paper.",
stanford__tavr__9f21f452,openai,claude,5,5,1,none,
stanford__tavr__9f21f452,openai,gemini,5,5,1,none,
stanford__tavr__9f21f452,openai,openai,5,5,1,none,
ucsf__cta__071e7999,claude,claude,5,5,1,none,
ucsf__cta__071e7999,claude,gemini,5,5,1,none,
ucsf__cta__071e7999,claude,openai,5,5,1,none,
ucsf__cta__071e7999,gemini,claude,5,4,1,"Dropped mention of vasculitis specificity and aortic arch syndrome detail, but key safety/prep preserved.",
ucsf__cta__071e7999,gemini,gemini,5,5,1,none,
ucsf__cta__071e7999,gemini,openai,5,5,2,none,
ucsf__laao__3b281006,claude,claude,5,5,1,none,
ucsf__laao__3b281006,claude,gemini,5,5,1,none,
ucsf__laao__3b281006,claude,openai,5,5,1,none,
ucsf__laao__3b281006,gemini,claude,4,5,3,Femoral artery changed to generic 'blood vessel'; added claim equating all A-fib stroke with ischemic stroke/CVA terminology,"closing the pouch lowers risk of a stroke, which is also called an ischemic stroke or cerebrovascular accident"
ucsf__laao__3b281006,gemini,gemini,5,5,1,none,
ucsf__laao__3b281006,gemini,openai,4,5,3,Stroke is inaccurately presented as synonymous with ischemic stroke/CVA.,"It only lowers your risk of a stroke, which is also called an ischemic stroke or cerebrovascular accident."
ucsf__laao__3b281006,openai,claude,5,5,1,none,
ucsf__laao__3b281006,openai,gemini,5,5,1,none,
ucsf__laao__3b281006,openai,openai,5,5,1,none,
ucsf__tavr__ebb4143e,claude,claude,5,5,1,none,
ucsf__tavr__ebb4143e,claude,gemini,5,5,1,none,
ucsf__tavr__ebb4143e,claude,openai,5,5,1,none,
ucsf__tavr__ebb4143e,gemini,claude,5,5,1,none,
ucsf__tavr__ebb4143e,gemini,gemini,3,5,1,"Rewrite incorrectly states the new valve pumps blood, whereas valves only regulate blood flow.",The new valve takes over to pump blood.
ucsf__tavr__ebb4143e,gemini,openai,4,5,4,"Most important issue: rewrite incorrectly says the new valve pumps blood; valves regulate flow, the heart pumps.",The new valve takes over to pump blood.
ucsf__tavr__ebb4143e,openai,claude,5,5,1,none,
ucsf__tavr__ebb4143e,openai,gemini,5,5,1,none,
ucsf__tavr__ebb4143e,openai,openai,5,5,1,none,
